VARIABLES = "Iteration","Merit Function","Optimality","Feasibility",
Zone T="SNOPT Data" I=35
DATAPACKING=POINT
0.000000 946379050000.000000 2.000000 1300.000000
1.000000 247672510000.000000 29000000.000000 11.000000
2.000000 3.241116 1.000000 6.800000
3.000000 60104032000.000000 1.000000 6.800000
4.000000 60105874000.000000 1.000000 6.800000
5.000000 60105874000.000000 1.000000 6.800000
6.000000 60105874000.000000 22.000000 6.800000
7.000000 60125798000.000000 22.000000 6.800000
8.000000 59976991000.000000 1.000000 6.700000
9.000000 50305885000.000000 1100000.000000 3.700000
10.000000 23894528000.000000 61000.000000 1.200000
11.000000 5538715300.000000 26000.000000 0.780000
12.000000 5950015400.000000 47000.000000 0.740000
13.000000 5956023500.000000 43000.000000 0.740000
14.000000 5951530600.000000 2000.000000 0.740000
15.000000 5951526300.000000 86.000000 0.740000
16.000000 5945439200.000000 91.000000 0.740000
17.000000 5939896900.000000 110.000000 0.740000
18.000000 5939655800.000000 90.000000 0.740000
19.000000 5939407400.000000 0.023000 0.740000
20.000000 5550848800.000000 0.067000 0.720000
21.000000 3598362900.000000 0.430000 0.590000
22.000000 166154690.000000 0.110000 0.210000
23.000000 253854490.000000 0.041000 0.030000
24.000000 4852014.800000 450000.000000 0.002400
25.000000 3.270864 130.000000 0.000001
26.000000 3.245019 180.000000 0.000001
27.000000 3.244362 5.000000 0.000001
28.000000 3.244353 6.300000 0.000001
29.000000 3.244346 0.022000 0.000001
30.000000 3.199569 120.000000 0.000001
31.000000 3.191182 2300.000000 0.000001
32.000000 3.190294 7.600000 0.000001
33.000000 3.190292 0.001100 0.000001
34.000000 3.190292 0.000000 0.000001
